sigma_2,t2,infall2,ks,Ensemble,WRMSE,MAE,MAPE,Huber,Cosine,log_cosh,loss
1000000000.0,8.970892378471667,-3.6705940527090735,0.051356022669053286,0.025465116438548333,0.2031075391759324,0.1437634357136891,413.67707560206145,0.02062633623505146,0.963244396419959,0.020234861584102454,0.051356022669053286
1000000000.0,9.201209558515245,-9.079176387634629,0.05484259881822466,0.02553695417094523,0.20366919525054317,0.1444897113607146,387.7958606013958,0.020740570547001937,0.9632714840398537,0.02034844462245338,0.05484259881822466
1000000000.0000001,8.862333309090065,-28.215145621432704,0.05498105897013228,0.019952516131436226,0.1786315071760911,0.1402610702555493,379.24164502432205,0.015954607678000946,0.9707190308105481,0.015774859619151163,0.05498105897013228
1000000000.0,8.914642130920395,-5.976997408278656,0.055859314460580095,0.023311430842831063,0.19603801973038795,0.14559260902464138,383.4612178815776,0.019215452589905986,0.9671312865670104,0.01889883279622964,0.055859314460580095
1000000000.0000002,10.48865570637487,-10.068329289460099,0.05615340146248374,0.02882076793611988,0.21525533196890648,0.15290199554685524,308.55143652032166,0.023167428970522066,0.9579881078108186,0.022654715297983782,0.05615340146248374
1000000000.0000002,9.41081685616778,-47.94935627609591,0.05673646120265635,0.031619558367885485,0.22648489856804851,0.16133339682094838,360.2216687482688,0.025647704639689614,0.9544461162663241,0.02503545278534993,0.05673646120265635
1000000000.000001,8.866501014011169,582.5947019395571,0.05712844693580951,0.019515976095289937,0.17622551761248773,0.13859639001534355,368.49581735006075,0.015527716528894609,0.9711780849164543,0.015356612060641022,0.05712844693580951
1000000000.0,9.054711144424182,-109.48170213102998,0.05742698739750479,0.03133190751012172,0.22326687653473007,0.1578935428040842,369.8566047450919,0.0249240490787872,0.9537164228167644,0.02432614765359247,0.05742698739750479
999999999.9999998,10.371866889552342,-21.643443249273602,0.05799053912983254,0.02022498383846774,0.17883639906534887,0.12783884163223386,319.5420225868715,0.015991228815330355,0.9698962544408783,0.015760737500062075,0.05799053912983254
1000000000.0,8.872241277490431,-76.50999781173638,0.05810990272848576,0.017473093910824997,0.1671979338729693,0.13160746457717037,371.9102211632326,0.013977574545694909,0.9743706942372048,0.013833529596153419,0.05810990272848576
999999999.9999998,10.248962816227184,-34.39674900615683,0.058117411283149636,0.012885931746821885,0.13466507700693695,0.1011051525986559,347.9589444395854,0.009067341482642129,0.9782040243034253,0.008996443764419113,0.058117411283149636
999999999.9999999,9.316913404802314,436.6382528445715,0.05816030282781015,0.02519033331812905,0.20215028086457507,0.14372886984322863,367.23076616298664,0.020432368026813294,0.9637077476688009,0.020054605370104905,0.05816030282781015
1000000000.0000007,9.313525685439235,279.25873396520257,0.05831536234339431,0.02511943971201827,0.20183346166448698,0.14353340315609753,366.6661130724596,0.02036837312373497,0.963794738248654,0.019993099566709995,0.05831536234339431
1000000000.0,8.919890443468901,-14.495153310025469,0.0586166564893716,0.016434005521895403,0.1608780751572333,0.11960453378624275,382.97562171759927,0.012940877533148203,0.9754153625043611,0.012795090876201991,0.0586166564893716
999999999.9999998,9.419681273180156,53.19014247808588,0.05861813515927654,0.030957941478108972,0.22400477278579747,0.15964878241036048,351.6476782959365,0.025089069115408376,0.955348023008923,0.02450560629574934,0.05861813515927654
1000000000.0000002,8.931842133248576,-5.98446431843718,0.05867766317801544,0.02330756432661269,0.193036881117497,0.1377536770727566,379.4390041355823,0.018631618735785335,0.9657818959614568,0.018317553534393086,0.05867766317801544
1000000000.0000001,8.875689860919847,-28.101572673172136,0.05868709944547587,0.0164356216637769,0.16180329827923376,0.1250421406865833,376.9707024971477,0.013090153667019346,0.9757582863437888,0.012951228538573199,0.05868709944547587
1000000000.0000005,10.249445404884476,-599.2906675731883,0.059071831997471944,0.012762946562960701,0.13372296123768743,0.10057967013697201,343.202830784159,0.008940915181088025,0.9783189802126697,0.008871546355610247,0.059071831997471944
1000000000.0000001,9.144373577635765,-15.1488783212818,0.05908918191340963,0.023966580354881542,0.19647691348119314,0.140025193776134,370.09128061645464,0.019301588765548126,0.9651484392700072,0.01896505613708304,0.05908918191340963
1000000000.0,9.320787334080466,49.23539561008689,0.05910066883727354,0.024913528283661533,0.20090271996138404,0.14297507234141602,362.7156638553161,0.020180951443941147,0.9640437924236576,0.01981314846310936,0.05910066883727354
999999999.9999989,10.487760307948598,-295.84156056705785,0.05930137026898501,0.026768475751837058,0.20723208473536572,0.14740763950943958,298.39022156761683,0.021472568471882898,0.9608744072616032,0.021037265804288614,0.05930137026898501
1000000000.0000002,8.886409373455903,-53.14950453608749,0.05959719819321456,0.016279960948186938,0.16081142070012855,0.12431063239914797,371.89386048727744,0.012930156513796864,0.9759038287049029,0.012793943262348362,0.05959719819321456
999999999.9999999,10.227976807240633,299.5689357884528,0.05976597305948171,0.01266975828006944,0.13294481324588475,0.10016359574204159,340.3776488055753,0.008837161684491586,0.9783875163302489,0.008769066740424014,0.05976597305948171
1000000000.0,10.490525737924612,32.028730375799256,0.06026853412723315,0.026166272242799264,0.20477257965644416,0.14569992243968755,295.1551118852056,0.020965904689577382,0.961699536799683,0.020552456484010245,0.06026853412723315
1000000000.0,8.88827247155449,-165.39221523737103,0.06032046037355676,0.01613951195810587,0.1599146598538525,0.12362415994624794,368.0455587205461,0.012786349218086671,0.976036441648516,0.012652458915514418,0.06032046037355676
999999999.9999989,8.88263059889794,-353.0588478598319,0.06051672652663348,0.016084326956098835,0.159568882843308,0.12334789944501245,367.17737037946034,0.012731114185930679,0.9760915099135088,0.01259808707178748,0.06051672652663348
